sports	今の１回生では１番漕暦が浅いのに持ち前の体力と精神力でレース出場権を手にした。	1
sports	でも相手は日本の中でも女子クォドの強豪、東京大学。	1
sports	勝てるわけがない・・・。	0
sports	今年のインカレで男子エイトが準優勝するくらい、男子は部員も多く、練習もきついのに、私たちは彼らよりも多くの練習をこなしてきた。	1
sports	いけるかもしれない。	1
sports	うん、悪くない。	1
sports	ものすごく緊張しているわりには安定している。	1
sports	ちゃんと詰めてる！！	1
sports	いける！！	1
sports	いける・・・	1
sports	これは絶対いける！！	1
sports	大きなミスもなく、本当に調子のいい私。	1
sports	私たちが東大に勝てるとは微塵も思えなかった。	0
sports	勝利の凱旋ではボート部の皆が喜びと驚きでいっぱいといった顔で「おめでとう！！本当におめでとう！！」と言ってくれた。	1
sports	私は皆に支えられてここまできたんだ。	1
sports	本当に皆、ありがとう。	1
sports	それは私の今の生きがいのひとつ。	1
sports	この間まで恋人が欲しかったものの、今はボートだけあれば生きていける。	1
sports	私たちの艇はそれなりに艇速が出ていた。	1
sports	でもそんなの関係ない。	1
sports	ウォーミングアップの安定感は悪くない。	1
sports	艇速も出ている。	1
sports	いけるかも・・・？	1
sports	１０００メートルもあるし大丈夫！！	1
sports	まだいける！！	1
sports	滋賀教育学部Ａ、Ｂは私たちの目の前にいるからもう大丈夫だ。	1
sports	いつもよりペースが速い。	0
sports	レースだから仕方ないけど・・・。	0
sports	父によると、その以外の番組を見たら馬鹿になるから。。	0
sports	実はニュース以外にはみんな馬鹿になる番組ばっかりじゃないかな。。	0
sports	でも、少し馬鹿になって気楽に生き残る人生もそんなに悪くはないと思うんだな。。	1
sports	今年の野球がおもしろい。	1
sports	ビール片手に野球観戦などという娯楽など自分には全く縁遠いと思っていたのだが、なるほど新橋のサラリーマンを夢中にさせるわけだ。	1
sports	好きなチームがいるならなおさらだろう。	1
sports	それはやはり一戦一戦の緊張感だろう。	1
sports	彼女は単独で現地の人にインタビューしたり、偶然知り合った龍谷大学の調査グループに参加させてもらったり有意義な時間を過ごした。	1
sports	もちろんぼくにはできなかった。	0
sports	ＴＯＥＩＣは七月の結果がかんばしくなかったのにも関わらず全然勉強していない。	0
sports	掲げたテーマに沿って夏休みを過ごしているとは言い難い。	0
sports	つまり「無い物ねだり」である。	0
sports	でも現実的にそれは無理だから何かをしぶしぶ捨てる。	0
sports	「うらやましい」という言葉はポジティブな言葉ではないのかもしれない。	0
sports	それは弱めの嫉妬であり、自分に欠けたものに対する未練を映したものだ。	0
sports	その先輩は天才肌で明るい先輩である。	1
sports	ぼくにとって弓道は重苦しくやるものではないのだ。	1
sports	ほんますごいじゃろー。	1
sports	ま、妹らあの努力には確実にかなわんと思います。	1
sports	だって、朝練、クラブがやすみなしじゃし、週末も剣道の練習試合やら、遠征やら、試合やらで、マジ凄かった。	1
sports	うちからしたら、大健闘じゃけどねっ。	1
sports	ほんま、わが妹のあの努力には頭が上がらんし、妹を本当に誇りに思いますね。。	1
sports	くにゃっと曲がったドロップハンドルは最初こそ怖かったものの、慣れれば快適で、片道１７ｋｍの自転車通学もぜんぜん苦では無い。	1
